"AJAX Layered Navigation","Navigation par filtres en AJAX"
"AJAX Layered Navigation Section","Section navigation par filtres en AJAX"
"AJAX Request Timeout","Durée maximale des requêtes AJAX"
"Animation used for the scroll-to-top","Animation utilisée pour le ""scroll-to-top"""
"Enable Scroll-to-top","Activé le ""scroll-to-top"""
"For more information about jQuery easings, go to the <a href=""https://api.jqueryui.com/easings/"" target=""_blank"">official jQuery UI documentation</a>","Pour plus d'informations à propos des ""easings"" jQuery, rendez-vous sur la <a href=""https://api.jqueryui.com/easings/"" target=""_blank"">documentation officielle jQuery</a>"
"In milliseconds, by default 1200 (= 1.2 second)","En millisecondes, par défaut 1200 (= 1.2 seconde)"
"In milliseconds, by default 10000 (= 10 seconds)","En millisecondes, par défaut 10000 (= 10 secondes)"
"In pixels, by default 20","En pixels, par défaut 20"
"Loading product listings with AJAX when a filter is selected or removed","Charger les listes de produits en AJAX quand un filtre est sélectionné ou supprimé"
"Offset relative to the products wrapper","Décalage par rapport au contenu de produits"
"Scroll to the top of the page when the AJAX request is completed","Ramener l'utilisateur vers le haut de la page lorsque la requête AJAX est terminée"
"Scroll-to-top Easing","Animation utilisée lors du retour vers le haut"
"Scroll-to-top Easing Duration","Durée de l'animation utilisée au clique sur le bouton de retour vers le haut"
"Scroll-to-top Offset","Décalage par rapport au contenu principal de la page"
"Shopigo Extensions","Extensions Shopigo"
"Sorry, something went wrong. Please try again later.","Désolé, quelque chose s'est mal passé. Veuillez réessayer plus tard."
"Use AJAX to Apply Filters","Appliquer les filtres en AJAX"
